City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
247,lebu,12,ET,1552582079,66,8.96,38.73,57.25,5.39
248,manono,76,CD,1552582079,91,-7.3,27.4,72.19,4.16
249,mandera,0,ET,1552582003,11,3.94,41.86,90,8.75
250,kralendijk,0,BQ,1552578900,70,12.15,-68.27,84.2,21.92
251,kaitangata,0,NZ,1552582012,83,-46.28,169.85,51.01,5.01
252,namatanai,80,PG,1552582080,100,-3.66,152.44,77.77,7.52
253,tingi,44,TZ,1552582081,100,-11.3,35.03,79.44,2.37
254,klichka,0,RU,1552582081,52,50.44,118,2.8,4.72
255,katsuura,20,JP,1552579200,60,33.93,134.5,41,5.82
256,glenn heights,1,US,1552582120,41,32.55,-96.86,61,17.22
257,uaua,8,BR,1552582142,84,-9.84,-39.48,84.3,7.18
258,vao,88,EE,1552582142,95,59.1,26.19,36.6,11.1
259,ancud,75,CL,1552579200,62,-41.87,-73.83,59,9.17
260,potsdam,75,DE,1552582140,93,52.4,13.06,42.01,11.41
261,diamantina,0,BR,1552582143,52,-18.24,-43.6,87.54,3.71
262,kangaba,0,ML,1552582144,19,11.94,-8.41,94.51,5.95
263,arona,0,IT,1552582143,24,45.76,8.56,61,4.7
264,luderitz,12,NA,1552581909,80,-26.65,15.16,64.5,14.56
265,tautira,75,PF,1552581795,83,-17.73,-149.15,77,2.24
266,avera,90,US,1552582095,64,33.19,-82.53,75,12.75
267,airai,92,TL,1552582145,90,-8.93,125.41,69.4,1.92
268,puerto del rosario,20,ES,1552579200,72,28.5,-13.86,68,12.75
269,coahuayana,0,MX,1552582146,27,18.62,-100.35,84.39,3.04
270,naze,75,NG,1552579200,79,5.43,7.07,86,8.05
271,santa cruz del norte,75,CU,1552578900,61,23.15,-81.92,82.4,11.41
272,upata,24,VE,1552582146,33,8.02,-62.41,92.89,8.86
273,maralal,0,KE,1552582147,77,1.1,36.7,61.75,4.05
274,mengcheng,0,CN,1552582147,48,33.26,116.57,46.14,11.21
275,kargasok,92,RU,1552582147,95,59.06,80.87,34.62,4.5
276,agogo,64,GH,1552582148,68,6.8,-1.08,83.04,8.19
277,kintampo,56,GH,1552582148,61,8.05,-1.73,90.64,2.82
278,kimberley,0,ZA,1552579200,37,-28.74,24.76,84.2,5.17
279,pisco,20,PE,1552579200,30,-13.71,-76.2,71.6,10.29
280,amuntai,56,ID,1552582149,93,-2.42,115.25,73.32,1.03
281,broken hill,0,AU,1552579200,24,-31.97,141.45,66.2,8.05
282,hualmay,8,PE,1552582150,65,-11.1,-77.61,80.25,4.61
283,vila franca do campo,20,PT,1552582113,63,37.72,-25.43,60.8,12.75
284,ndioum,0,SN,1552582150,7,16.51,-14.65,93.16,8.97
285,jizan,0,SA,1552579200,58,16.89,42.56,86,8.05
286,karratha,0,AU,1552582151,50,-20.74,116.85,85.06,9.64
287,aripuana,44,BR,1552582151,56,-9.17,-60.63,91.45,3.94
288,santa rosalia,40,IT,1552582149,62,38.07,13.27,60.01,19.46
289,saldanha,0,PT,1552582152,38,41.42,-6.55,56.67,4.72
290,bull savanna,68,JM,1552582152,51,17.89,-77.59,84.3,5.95
291,nome,40,US,1552582131,33,30.04,-94.42,75.99,13.87
292,shikhany,0,RU,1552582153,76,52.12,47.22,16.57,4.38
293,bom sucesso,0,BR,1552582153,82,-21.03,-44.76,83.04,6.96
294,neiafu,40,TO,1552579200,78,-18.65,-173.98,77,11.41
295,waingapu,92,ID,1552582154,100,-9.65,120.26,73.27,3.6
296,norman wells,75,CA,1552579200,84,65.28,-126.83,-2.21,4.7
297,pozo colorado,92,PY,1552582154,100,-23.49,-58.8,74.8,5.84
298,libertador general san martin,48,AR,1552582155,72,-23.81,-64.79,78.09,4.05
299,baghmara,92,IN,1552582155,97,23.8,86.21,66.52,6.73
300,flin flon,20,CA,1552579200,62,54.77,-101.88,24.8,8.05
301,talnakh,48,RU,1552582155,76,69.49,88.39,8.88,10.42
302,nouakchott,0,MR,1552579200,6,18.08,-15.98,93.2,19.46
303,port hedland,88,AU,1552581000,62,-20.31,118.58,87.8,11.41
304,aykhal,64,RU,1552582156,73,65.95,111.51,8.74,5.17
305,varna,0,BG,1552579200,60,43.22,27.9,42.8,11.41
306,tabas,56,IR,1552582217,27,33.6,56.92,55.05,6.96
307,srednekolymsk,44,RU,1552582217,76,67.46,153.71,-11.92,2.37
308,chapais,90,CA,1552579200,83,49.78,-74.86,32,16.11
309,zlobin,20,HR,1552582187,50,45.29,14.65,53.6,8.05
310,katangli,76,RU,1552582218,97,51.71,143.23,19.72,3.83
311,college,1,US,1552582208,67,64.86,-147.8,28.99,8.05
312,grand haven,1,US,1552581986,76,43.06,-86.23,59,9.17
313,kazerun,76,IR,1552582219,58,29.62,51.65,55.32,5.61
314,nicoya,0,CR,1552579200,36,10.15,-85.45,91.4,13.87
315,alta floresta,40,BR,1552579200,66,-9.87,-56.08,87.8,2.24
316,sandwick,92,GB,1552582202,75,54.57,-2.89,48,24.16
317,marovoay,40,MG,1552579200,83,-16.11,46.64,82.4,4.7
318,adrar,0,DZ,1552579200,17,27.87,-0.29,86,10.29
319,kysyl-syr,0,RU,1552582222,67,63.9,122.77,-4.99,2.48
320,mount isa,0,AU,1552581000,23,-20.73,139.49,82.4,8.05
321,cabo san lucas,5,MX,1552581952,63,22.89,-109.91,73,3.36
322,florence,90,US,1552582068,83,34.8,-87.68,73,13.87
323,petropavlovsk-kamchatskiy,40,RU,1552579200,78,53.05,158.65,14,8.95
324,sitka,80,US,1552581905,59,37.17,-99.65,39.99,23
325,klaksvik,44,FO,1552580400,86,62.23,-6.59,41,4.7
326,mutare,92,MZ,1552582224,95,-18.97,32.67,65.8,6.85
327,northam,40,GB,1552582207,81,51.04,-4.21,54,19.46
328,saint-pierre,92,FR,1552582025,100,48.95,4.24,50,27.51
329,puerto colombia,20,CO,1552581932,58,10.99,-74.96,88,2.24
330,lichtenburg,88,ZA,1552582225,36,-26.15,26.16,77.82,6.51
331,mitsamiouli,20,KM,1552579200,78,-11.38,43.28,82.4,5.82
332,kaa-khem,0,RU,1552582226,70,51.7,94.56,16.12,3.38
333,koslan,0,RU,1552582226,75,63.46,48.9,9.6,3.49
334,oparino,76,RU,1552582226,77,59.85,48.28,25.75,2.59
335,yeppoon,80,AU,1552581000,88,-23.13,150.74,77,6.93
336,zermatt,92,CH,1552582206,80,46.02,7.75,42.8,8.05
337,quito,40,EC,1552581914,60,-0.22,-78.51,68,4.7
338,yarada,0,IN,1552581000,74,17.65,83.27,82.4,2.24
